id,title,subject,topic,resource_type,difficulty_level,learning_goal,duration_minutes,url,source,description
1,IPv4 Addressing & Subnetting Explained for Beginners,Computer Networks,IPv4 and Subnetting,Video,Beginner,Concept Understanding,25,https://www.youtube.com/watch?v=s_Ntt6eTn94,NetworkChuck,Clear visual introduction to IP classes CIDR notation and subnet calculation step by step.
2,Subnetting Mastery: Fast Subnetting Cheat Sheet & Notes,Computer Networks,IPv4 and Subnetting,Notes,Beginner,Exam Preparation,20,https://www.geeksforgeeks.org/introduction-to-subnetting/,GeeksforGeeks,Quick revision notes covering FLSM VLSM and standard subnet masks with exam formulas.
3,IPv4 Subnet Calculation Practice Problems & Solutions,Computer Networks,IPv4 and Subnetting,Practice,Intermediate,Practice,35,https://www.sanfoundry.com/computer-networks-mcqs-ipv4-addressing/,Sanfoundry,Curated MCQs and numerical problem set on finding network ID broadcast ID and usable hosts.
4,Deep Dive into Classless Inter-Domain Routing (CIDR) and VLSM,Computer Networks,IPv4 and Subnetting,Articles,Advanced,Concept Understanding,30,https://en.wikipedia.org/wiki/Classless_Inter-Domain_Routing,Wikipedia,Comprehensive technical article explaining prefix routing aggregation and supernetting concepts.
5,GATE Exam Preparation: IPv4 Subnetting Previous Year Questions,Computer Networks,IPv4 and Subnetting,Video,Intermediate,Exam Preparation,45,https://www.youtube.com/watch?v=gate_subnetting_solutions,Gate Smashers,Step by step solution walk-throughs for previous year university and competitive exam questions.
6,Hands-on Packet Tracer Lab: Subnetting a Class C Network,Computer Networks,IPv4 and Subnetting,Practice,Beginner,Practice,40,https://www.cisco.com/c/en/us/support/docs/ip/routing-information-protocol-rip/13788-3.html,Cisco Networking Academy,Practical guided simulation lab configuring subnets routers and host IP assignments.
7,OSI 7-Layer Model Architecture Explained,Computer Networks,OSI Model,Video,Beginner,Concept Understanding,30,https://www.youtube.com/watch?v=LANW3m7UgWs,PowerCert Animated Videos,Animated breakdown of physical data link network transport session presentation application layers.
8,OSI vs TCP/IP Model Summary Notes,Computer Networks,OSI Model,Notes,Beginner,Exam Preparation,15,https://www.geeksforgeeks.org/layers-of-osi-model/,GeeksforGeeks,Tabular comparison of protocols data units and layer functions for rapid exam review.
9,CPU Scheduling Algorithms Complete Tutorial: FCFS SJF Round Robin,Operating Systems,CPU Scheduling,Video,Beginner,Concept Understanding,35,https://www.youtube.com/watch?v=cpu_sched_tutorial,Neso Academy,Detailed explanation with Gantt charts calculating average waiting and turnaround time.
10,Operating Systems Scheduling Numerical Practice Questions,Operating Systems,CPU Scheduling,Practice,Intermediate,Exam Preparation,30,https://www.sanfoundry.com/operating-system-questions-answers-cpu-scheduling/,Sanfoundry,Collection of numerical problems on preemptive non-preemptive SJF priority and multi-level queues.
11,Deadlock Prevention Detection and Bankers Algorithm Notes,Operating Systems,Deadlocks,Notes,Intermediate,Exam Preparation,25,https://www.geeksforgeeks.org/bankers-algorithm-in-operating-system-2/,GeeksforGeeks,Concise theory and safety algorithm steps for deadlock avoidance with resource allocation tables.
12,Database Normalization: 1NF 2NF 3NF BCNF with Real Examples,DBMS,Database Normalization,Video,Beginner,Concept Understanding,30,https://www.youtube.com/watch?v=db_normalization,Gate Smashers,Intuitive examples explaining anomalies functional dependencies and decomposition to 3NF/BCNF.
13,SQL Queries and Relational Algebra Practice Set,DBMS,SQL Queries,Practice,Beginner,Practice,40,https://leetcode.com/problemset/database/,LeetCode,Hands-on SQL practice covering SELECT JOIN GROUP BY and nested subqueries.
14,Binary Search Tree: Operations and Traversal Explained,Data Structures,Trees,Video,Beginner,Concept Understanding,25,https://www.youtube.com/watch?v=pYT9F8_LFTM,mycodeschool,Visual explanation of BST insertion deletion search and inorder preorder postorder traversals.
15,Trees & Graphs Interview Coding Practice Problems,Data Structures,Trees,Practice,Intermediate,Practice,45,https://leetcode.com/tag/tree/,LeetCode,Top university and interview coding problems for binary trees and depth-first search.
